囱	tung 
囱	cung 
近	kiun 
近	gin 
彻	cet 
役	jit 
返	fan 
余	ji 
希	si 
坐	co 
谷	guk 
妥	to 
含	ham 
邻	lin 
岔	ca 
肝	gon 
肛	gong 
肚	du 
肘	ziu 
肠	cong 
龟	gui 
甸	dem 
甸	tem 
免	men 
狂	kong 
犹	jiu 
狈	bui 
狈	boi 
角	luk
角	gok 
删	than 
条	tiau 
彤	tung 
卵	lon 
灸	giu 
岛	dau 
刨	pau 
迎	nziang 
饭	fan 
饭	pan 
饮	nzim 
系	he 
系	hai 
言	nzien 
冻	dung 
状	cong 
亩	meu 
况	kong 
床	cong 
库	ku 
庇	bi 
疗	liau 
吝	lin 
应	jin 
冷	lang 
这	zia 
这	ze 
庐	lu 
序	thi 
辛	sin 
辛	thin 
弃	ki 
弃	si 
冶	ja 
忘	mong 
闰	jun 
闲	han 
间	gan 
闷	mun 
判	pan 
判	pun 
兑	dui 
灶	zau 
灿	cam 
灼	ziok 
弟	ti 
弟	tai 
汪	vong 
灼	sok 
沐	muk 
沐	mu 
沛	pui 
沛	fui 
汪	vong 
汰	tai 
沥	lit 
沥	lak 
沙	tha 
汽	si 
沃	vok 
沦	lun 
汹	sung 
泛	fan 
沟	geu 
没	mut 
沧	cong 
没	mo 
沪	fu 
沈	sim 
沉	cim 
沁	cim 
沁	sim 
怀	fai 
忧	jiu 
忧	jau 
忱	sim 
忱	zim 
快	kai 
完	ngan 
完	van 
完	von 
宋	thung 
宏	fen 
宏	qong 
宏	hung 
牢	lau 
究	giu 
穷	kiung 
灾	zai 
良	liong 
证	zin 
启	ki 
评	pin 
评	piang 
补	bu 
补	pu 
初	co	
社	sa 
祀	thu 
识	sit 
诈	za 
诉	su 
罕	hon 
罕	han 
诊	zin 
词	cu 
译	jit 
君	giun 
灵	lin 
即	zit 
层	cen 
层	cang 
层	cin 
屁	pi 
尿	nziau 
尾	mui 
迟	ci 
局	kiuk 
改	goi 
张	zong 
忌	ki 
忌	gi 
际	zi 
陆	luk 
阿	qo 
阿	qa 
陈	cin 
阻	zu 
阻	zo 
附	fu 
坠	cui 
妓	gi 
妙	miau 
妖	jau 
姊	zi 
妨	fong 
妒	du 
妒	tu 
努	nu 
努	no 
忍	nziun 
劲	gin 
矣	qe	100%
鸡	gai 
鸡	ge 
纬	vui 
驱	ki 
驱	ku
纯	cun 
纱	tha 
纲	gong 
纳	nap 
纵	zung 
驳	bok 
纷	fun 
纸	zi 
纹	vun 
纹	mun 
